Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,6137428,10081,0.001643,3.0045,1.0,0.004935
Kansas City,488943,892,0.001826,3.0045,1.0,0.005487
Adair,25343,49,0.001973,3.1386,1.0,0.006192
Andrew,17712,20,0.001186,2.8888,1.0,0.003425
Atchison,5143,2,0.000583,2.9703,2.0,0.003465
Audrain,25388,14,0.000591,2.9494,1.0,0.001743
Barry,35789,31,0.000894,3.0402,1.0,0.002718
Barton,11754,18,0.001616,2.6003,1.0,0.004203
Bates,16172,33,0.002102,2.6003,1.0,0.005467
Benton,19443,23,0.001234,3.0091,1.0,0.003714
Bollinger,12133,13,0.001154,3.3871,1.8571,0.007258
Boone,180463,312,0.001734,2.8924,1.0,0.005017
Buchanan,87364,96,0.00111,2.9128,1.0,0.003234
Butler,42478,59,0.001412,2.9488,1.0,0.004165
Caldwell,9020,10,0.00122,2.7679,1.0,0.003376
Callaway,44743,83,0.001877,2.9885,1.2206,0.006848
Camden,46305,50,0.001101,3.163,1.0,0.003484
Cape Girardeau,78871,119,0.001521,3.2127,1.1553,0.005647
Carroll,8679,23,0.002765,3.46,1.0,0.009568
Carter,5982,1,0.000334,4.326,1.0,0.001446
Cass,105780,180,0.001711,3.2778,1.0,0.005609
Cedar,14349,16,0.001185,2.6947,1.0,0.003193
Chariton,7426,5,0.000808,2.6579,1.0,0.002148
Christian,88595,133,0.001513,3.1933,1.0,0.00483
Clark,6797,11,0.001765,2.6717,1.0,0.004717
Clay,249948,180,0.000724,3.2629,1.0,0.002363
Clinton,20387,29,0.001472,3.2041,1.0,0.004715
Cole,76745,109,0.001433,2.7594,1.172,0.004636
Cooper,17709,27,0.001581,3.3431,1.8,0.009514
Crawford,23920,39,0.001672,2.9494,1.0,0.004932
Dade,7561,4,0.000661,2.4148,1.0,0.001597
Dallas,16878,21,0.001303,3.163,1.1053,0.004557
Daviess,8278,18,0.002295,3.3378,1.0588,0.008112
DeKalb,12547,19,0.001594,3.7699,1.0,0.006009
Dent,15573,17,0.001156,3.9827,1.1333,0.005217
Douglas,13185,11,0.00091,3.0045,1.0,0.002734
Dunklin,29131,35,0.001236,3.0256,1.0,0.003739
Franklin,103967,181,0.001751,3.1257,1.0,0.005472
Gasconade,14706,22,0.001564,3.5714,1.0,0.005586
Gentry,6571,12,0.001978,2.786,1.0,0.005512
Greene,293086,482,0.001648,2.8257,1.0,0.004657
Grundy,9850,10,0.001117,2.582,1.0,0.002883
Harrison,8352,38,0.00467,3.5017,1.0556,0.01726
Henry,21824,37,0.001741,2.8924,1.0571,0.005324
Hickory,9544,3,0.000419,2.4002,1.5,0.001509
Holt,4403,5,0.001363,4.326,1.0,0.005895
Howard,10001,6,0.0007,2.9494,1.0,0.002064
Howell,40117,44,0.001122,3.2753,1.0,0.003674
Iron,10125,6,0.000691,3.3431,2.0,0.004622
Jackson,703011,840,0.001196,2.9397,1.0,0.003517
Jasper,121328,297,0.002456,3.077,1.0607,0.008016
Jefferson,225081,425,0.001893,3.1621,1.0,0.005985
Johnson,54062,67,0.001258,3.0224,1.0,0.003802
Knox,3959,4,0.001263,4.0804,1.0,0.005153
Laclede,35723,42,0.001204,2.7341,1.0,0.003291
Lafayette,32708,51,0.00159,3.4156,1.0,0.00543
Lawrence,38355,37,0.000991,3.5192,1.0,0.003487
Lewis,9776,3,0.000409,3.2308,1.0,0.001322
Lincoln,59013,104,0.001779,2.8489,1.253,0.006351
Linn,11920,9,0.000839,3.0964,1.0,0.002598
Livingston,15227,38,0.002561,2.5939,1.0,0.006644
McDonald,22837,19,0.000876,3.0964,1.0,0.002712
Macon,15117,28,0.001918,2.7756,1.0,0.005325
Madison,12088,15,0.001324,3.2698,1.0,0.004328
Maries,8697,8,0.001035,2.9494,1.0,0.003052
Marion,28530,17,0.000631,2.6412,1.0,0.001666
Mercer,3617,5,0.001659,2.9494,2.0,0.009785
Miller,25619,23,0.000937,2.7177,1.0,0.002546
Mississippi,13180,20,0.001593,3.015,1.0,0.004804
Moniteau,16132,15,0.000992,3.4711,1.0,0.003443
Monroe,8644,10,0.001273,2.4956,1.25,0.00397
Montgomery,11551,2,0.00026,2.7756,1.0,0.000721
Morgan,20627,14,0.000727,2.8224,1.0769,0.00221
New Madrid,17076,19,0.001171,2.6003,1.0,0.003046
Newton,58236,68,0.001185,3.1309,1.0,0.00371
Nodaway,22092,20,0.000951,2.3256,1.0,0.002211
Oregon,10529,9,0.00095,3.0964,1.0,0.002941
Osage,13615,23,0.001763,3.7478,1.0,0.006606
Ozark,9174,7,0.000872,2.9494,1.0,0.002572
Pemiscot,15805,18,0.001202,2.3588,1.0,0.002836
Perry,19136,15,0.000836,3.2578,1.0,0.002724
Pettis,42339,84,0.002008,3.969,1.0,0.007968
Phelps,44573,34,0.000785,2.8979,1.0,0.002275
Pike,18302,28,0.001585,3.2255,1.0,0.005111
Platte,104418,85,0.000824,3.1352,1.4407,0.00372
Polk,32149,36,0.001151,2.8753,1.8,0.005956
Pulaski,52607,31,0.000608,2.6717,1.1071,0.001799
Putnam,4696,3,0.000852,3.0402,1.0,0.00259
Ralls,10309,6,0.000679,3.0402,1.0,0.002064
Randolph,24748,16,0.000687,3.3638,1.4545,0.003361
Ray,23018,37,0.001651,3.2871,1.0,0.005427
Reynolds,6270,1,0.000319,4.5286,1.0,0.001445
Ripley,13288,25,0.001957,3.0402,1.1364,0.00676
St. Charles,402022,504,0.001256,3.0423,1.0,0.003822
St. Clair,9397,23,0.002554,2.5857,1.0,0.006604
Ste. Genevieve,17894,24,0.001397,3.2702,1.0,0.004569
St. Francois,67215,101,0.001518,2.8118,1.0,0.004267
St. Louis,994205,2363,0.002378,3.0234,1.0,0.007189
Saline,22761,46,0.002065,3.2086,1.0,0.006626
Schuyler,4660,11,0.002575,3.8991,1.0,0.010041
Scotland,4902,4,0.00102,3.256,2.0,0.006642
Scott,38280,39,0.001045,3.156,1.0,0.003298
Shannon,8166,11,0.00147,2.7177,2.0,0.007987
Shelby,5930,8,0.001518,3.3431,1.0,0.005074
Stoddard,29025,29,0.001034,3.5214,1.0,0.00364
Stone,31952,63,0.002003,3.6447,1.6579,0.012103
Sullivan,6089,3,0.000657,3.201,1.0,0.002103
Taney,55928,100,0.001806,3.5745,1.0204,0.006587
Texas,25398,16,0.000669,3.2685,1.4545,0.003182
Vernon,20563,17,0.000875,2.7355,1.0,0.002395
Warren,35649,58,0.001655,2.7147,1.0,0.004493
Washington,24730,32,0.001334,2.7544,1.0,0.003676
Wayne,12873,14,0.001165,3.2448,1.0,0.003781
Webster,39592,57,0.001465,2.8572,1.0,0.004186
Worth,2013,1,0.000994,3.0964,1.0,0.003076
Wright,18289,33,0.001859,2.786,1.1379,0.005894
St. Louis City,300576,318,0.001061,2.8634,1.0,0.003039
